description,category
Gym Membership Recharge,Miscellaneous
Sports Ticket Online,Entertainment
Rapido Online,Travel
Cafe Coffee Day Payment,Food
Air India Payment,Travel
Health Insurance Bill,Healthcare
IRCTC,Travel
1mg Transaction,Healthcare
General Store Online,Groceries
Netmeds,Healthcare
Amazon Bill,Shopping
Mahanagar Gas via UPI,Bills
Bescom Transaction,Bills
Instamart,Groceries
BlueDart via UPI,Miscellaneous
Uber Payment,Travel
Ola Online,Travel
Flipkart Online,Shopping
Medical Lab Test via UPI,Healthcare
Ajio Payment,Shopping
Amazon Prime Bill,Entertainment
Shoppers Stop App,Shopping
Netmeds Auto-pay,Healthcare
Bescom App,Bills
Air India NEFT,Travel
Supermarket Grocery Bill,Groceries
Local Cafe Recharge,Food
Netmeds Online,Healthcare
Street Food Purchase,Food
Donation Recharge,Miscellaneous
Electronics Store Online,Shopping
DMart NEFT,Groceries
Daily Essentials Transaction,Groceries
Bakery,Food
MakeMyTrip Payment,Travel
Steam App,Entertainment
Restaurant Payment,Food
ATM Withdrawal App,Miscellaneous
Cult.fit Auto-pay,Miscellaneous
Clothing Store Payment,Shopping
Gaming Top-up via UPI,Entertainment
Clinic Visit Transaction,Healthcare
Instamart IMPS,Groceries
Mall Purchase Recharge,Shopping
Electricity Bill Online,Bills
Music Subscription App,Entertainment
Zomato,Food
Pharma Auto-pay,Healthcare
Zepto Recharge,Groceries
Temple Donation,Miscellaneous
KFC,Food
Starbucks Online,Food
Apollo Pharmacy Purchase,Healthcare
Electronics Store Auto-pay,Shopping
Metro Recharge Recharge,Travel
Airport Taxi NEFT,Travel
Haldirams App,Food
Milk Purchase Payment,Groceries
Ola Purchase,Travel
OTT Subscription Online,Entertainment
Ola Online,Travel
Pharma Payment,Healthcare
Tata Power Bill,Bills
Vi Mobile Bill IMPS,Bills
Cult.fit Transaction,Miscellaneous
Air India Bill,Travel
Coffee Shop Auto-pay,Food
Croma,Shopping
Train Ticket Purchase,Travel
OTT Subscription Purchase,Entertainment
Tata Power Online,Bills
Netmeds NEFT,Healthcare
Starbucks Purchase,Food
Daily Essentials Purchase,Groceries
Nykaa Payment,Shopping
Temple Donation App,Miscellaneous
Rent Payment Online,Bills
Rent Payment Online,Bills
Pharma Online,Healthcare
Restaurant Recharge,Food
Temple Donation NEFT,Miscellaneous
Rapido IMPS,Travel
Croma,Shopping
Broadband Bill Purchase,Bills
Health Insurance IMPS,Healthcare
Hotstar Transaction,Entertainment
Dental Treatment Online,Healthcare
Starbucks Auto-pay,Food
Medical Lab Test via UPI,Healthcare
Amazon Purchase,Shopping
1mg via UPI,Healthcare
Dental Treatment via UPI,Healthcare
Medical Lab Test Bill,Healthcare
Charity NEFT,Miscellaneous
Reliance Digital Transaction,Shopping
Local Cafe Payment,Food
Dental Treatment Auto-pay,Healthcare
Netmeds Transaction,Healthcare
Hotstar Transaction,Entertainment
Gym Membership IMPS,Miscellaneous
Temple Donation NEFT,Miscellaneous
Practo Bill,Healthcare
Hospital Bill Online,Healthcare
Rent Payment Payment,Bills
Indigo Airlines NEFT,Travel
Bus Ticket Recharge,Travel
Music Subscription Payment,Entertainment
RedBus App,Travel
Airport Taxi Auto-pay,Travel
Dining App,Food
BookMyShow Transaction,Entertainment
Airport Taxi Payment,Travel
Ola Purchase,Travel
Myntra via UPI,Shopping
Retail Store via UPI,Shopping
Zomato Transaction,Food
Mahanagar Gas Auto-pay,Bills
Apollo Pharmacy Transaction,Healthcare
Doctor Consultation Recharge,Healthcare
Milk Purchase Bill,Groceries
Gym Membership Payment,Miscellaneous
Gaming Top-up Recharge,Entertainment
Music Subscription NEFT,Entertainment
DTH Recharge Online,Bills
Courier Service NEFT,Miscellaneous
Charity Recharge,Miscellaneous
Netflix Purchase,Entertainment
Hospital Bill Online,Healthcare
Jio Recharge,Bills
Air India,Travel
Doctor Consultation Transaction,Healthcare
Retail Store,Shopping
Bank Charges NEFT,Miscellaneous
Inox Purchase,Entertainment
Supermarket Grocery NEFT,Groceries
RedBus Online,Travel
Spotify Online,Entertainment
Train Ticket Payment,Travel
Zepto Online,Groceries
Netmeds Transaction,Healthcare
Reliance Smart Purchase,Groceries
1mg NEFT,Healthcare
Haldirams Bill,Food
Gym Membership IMPS,Miscellaneous
Ola Purchase,Travel
Milk Purchase Online,Groceries
Lifestyle IMPS,Shopping
Daily Essentials Payment,Groceries
Dental Treatment App,Healthcare
Gym Membership IMPS,Miscellaneous
Sports Ticket App,Entertainment
Steam Transaction,Entertainment
Courier Service Purchase,Miscellaneous
Blinkit NEFT,Groceries
Event Ticket Online,Entertainment
Ajio Recharge,Shopping
Household Items Payment,Groceries
Apollo Pharmacy IMPS,Healthcare
Starbucks Payment,Food
BlueDart NEFT,Miscellaneous
Appliance Store Transaction,Shopping
OTT Subscription Bill,Entertainment
Gaming Top-up,Entertainment
Electricity Bill Recharge,Bills
Parking Fee Recharge,Miscellaneous
Bank Charges Online,Miscellaneous
Electricity Bill Recharge,Bills
Cafe Coffee Day Auto-pay,Food
Zepto Payment,Groceries
Steam Payment,Entertainment
Event Ticket Transaction,Entertainment
Event Ticket IMPS,Entertainment
Croma,Shopping
Medical Lab Test Bill,Healthcare
Blinkit NEFT,Groceries
Apollo Pharmacy Payment,Healthcare
DTH Recharge via UPI,Bills
Netmeds App,Healthcare
Zepto via UPI,Groceries
Charity Transaction,Miscellaneous
Haldirams Recharge,Food
1mg NEFT,Healthcare
Nature's Basket NEFT,Groceries
India Post Transaction,Miscellaneous
Shoppers Stop Transaction,Shopping
Bakery via UPI,Food
Maintenance Charges Auto-pay,Bills
Gaming Top-up Bill,Entertainment
Airport Taxi NEFT,Travel
Swiggy,Food
Daily Essentials Payment,Groceries
Metro Recharge NEFT,Travel
Health Insurance Online,Healthcare
DTH Recharge Online,Bills
Temple Donation Recharge,Miscellaneous
Nature's Basket NEFT,Groceries
Gym Membership Bill,Miscellaneous
Instamart via UPI,Groceries
Pharma,Healthcare
ATM Withdrawal via UPI,Miscellaneous
Rent Payment Online,Bills
Milk Purchase Auto-pay,Groceries
Gym Membership Payment,Miscellaneous
Appliance Store Bill,Shopping
Local Kirana,Groceries
MakeMyTrip Bill,Travel
1mg App,Healthcare
Ajio Online,Shopping
Courier Service IMPS,Miscellaneous
Blinkit Auto-pay,Groceries
Gym Membership NEFT,Miscellaneous
Vi Mobile Bill Online,Bills
Sports Ticket NEFT,Entertainment
Appliance Store IMPS,Shopping
Maintenance Charges NEFT,Bills
Metro Recharge Online,Travel
Inox Recharge,Entertainment
Netmeds Purchase,Healthcare
Bescom Purchase,Bills
Charity Online,Miscellaneous
Tata Power IMPS,Bills
Spotify via UPI,Entertainment
India Post Bill,Miscellaneous
Cult.fit Online,Miscellaneous
Airport Taxi Bill,Travel
Appliance Store Auto-pay,Shopping
McDonalds Transaction,Food
Indigo Airlines Recharge,Travel
Clinic Visit via UPI,Healthcare
Bus Ticket,Travel
Local Kirana IMPS,Groceries
MakeMyTrip NEFT,Travel
Donation Bill,Miscellaneous
Uber,Travel
BlueDart via UPI,Miscellaneous
Water Bill,Bills
Clothing Store,Shopping
DMart Payment,Groceries
Apollo Pharmacy Transaction,Healthcare
DMart Transaction,Groceries
Bus Ticket,Travel
Haldirams via UPI,Food
OTT Subscription Payment,Entertainment
PVR Cinemas App,Entertainment
Appliance Store Online,Shopping
Milk Purchase Transaction,Groceries
BookMyShow NEFT,Entertainment
Daily Essentials Auto-pay,Groceries
Maintenance Charges App,Bills
BigBasket NEFT,Groceries
Maintenance Charges Bill,Bills
Vi Mobile Bill,Bills
Jio Recharge Purchase,Bills
Ajio,Shopping
Nature's Basket App,Groceries
Croma Bill,Shopping
Amazon Prime Purchase,Entertainment
Music Subscription Payment,Entertainment
Ajio via UPI,Shopping
Appliance Store NEFT,Shopping
BlueDart Auto-pay,Miscellaneous
Netmeds IMPS,Healthcare
Clothing Store Bill,Shopping
Dining App,Food
Rent Payment Purchase,Bills
Steam IMPS,Entertainment
Water Bill Recharge,Bills
BlueDart Auto-pay,Miscellaneous
Steam Recharge,Entertainment
Zepto NEFT,Groceries
Street Food NEFT,Food
Bank Charges App,Miscellaneous
Lifestyle,Shopping
Broadband Bill Bill,Bills
KFC App,Food
Doctor Consultation IMPS,Healthcare
Coffee Shop Online,Food
KFC NEFT,Food
Spotify Purchase,Entertainment
Hospital Bill Transaction,Healthcare
Netflix Transaction,Entertainment
Myntra NEFT,Shopping
Lifestyle App,Shopping
Bikanervala Online,Food
Doctor Consultation App,Healthcare
Supermarket Grocery Purchase,Groceries
Starbucks App,Food
BookMyShow Online,Entertainment
Reliance Digital,Shopping
Zomato NEFT,Food
Local Kirana App,Groceries
Zepto Online,Groceries
Charity,Miscellaneous
Croma,Shopping
Uber Online,Travel
Music Subscription Payment,Entertainment
PVR Cinemas,Entertainment
Clinic Visit App,Healthcare
BlueDart Online,Miscellaneous
Hotstar NEFT,Entertainment
Charity via UPI,Miscellaneous
Electricity Bill Bill,Bills
Rent Payment Payment,Bills
1mg Recharge,Healthcare
Metro Recharge via UPI,Travel
India Post Bill,Miscellaneous
Daily Essentials Auto-pay,Groceries
Electronics Store NEFT,Shopping
KFC Payment,Food
McDonalds App,Food
Swiggy NEFT,Food
Swiggy Recharge,Food
Bescom Online,Bills
Parking Fee Recharge,Miscellaneous
Shoppers Stop,Shopping
1mg Transaction,Healthcare
Rapido Payment,Travel
Event Ticket Payment,Entertainment
Haldirams,Food
Steam Payment,Entertainment
Netmeds via UPI,Healthcare
Spotify Auto-pay,Entertainment
Myntra Bill,Shopping
Parking Fee Recharge,Miscellaneous
Amazon Prime Payment,Entertainment
Courier Service via UPI,Miscellaneous
Parking Fee App,Miscellaneous
Bescom Transaction,Bills
Metro Recharge IMPS,Travel
RedBus Recharge,Travel
Starbucks NEFT,Food
Bakery Bill,Food
Coffee Shop App,Food
Gaming Top-up IMPS,Entertainment
1mg Transaction,Healthcare
Clinic Visit Transaction,Healthcare
ATM Withdrawal via UPI,Miscellaneous
Event Ticket App,Entertainment
Haldirams Bill,Food
Ajio NEFT,Shopping
Airport Taxi Purchase,Travel
OTT Subscription Online,Entertainment
Bus Ticket Transaction,Travel
Flight Ticket via UPI,Travel
Bescom Online,Bills
BigBasket App,Groceries
Gaming Top-up Bill,Entertainment
Air India,Travel
MakeMyTrip Recharge,Travel
Music Subscription Recharge,Entertainment
Reliance Smart Bill,Groceries
Shoppers Stop IMPS,Shopping
Uber IMPS,Travel
Domino's Purchase,Food
Starbucks Purchase,Food
Appliance Store Auto-pay,Shopping
Household Items Bill,Groceries
OTT Subscription Payment,Entertainment
Mall Purchase,Shopping
Hospital Bill IMPS,Healthcare
Health Insurance Payment,Healthcare
Apollo Pharmacy Purchase,Healthcare
Nature's Basket,Groceries
Donation via UPI,Miscellaneous
Rent Payment Purchase,Bills
Reliance Digital Transaction,Shopping
Zomato Auto-pay,Food
Indigo Airlines Transaction,Travel
Zomato Online,Food
India Post,Miscellaneous
Water Bill Transaction,Bills
Instamart Recharge,Groceries
Mahanagar Gas Purchase,Bills
Rent Payment Online,Bills
Jio Recharge via UPI,Bills
Donation App,Miscellaneous
Daily Essentials Bill,Groceries
Hotstar IMPS,Entertainment
Ajio via UPI,Shopping
Donation NEFT,Miscellaneous
Hospital Bill Transaction,Healthcare
Gym Membership Recharge,Miscellaneous
Flight Ticket via UPI,Travel
Ola Online,Travel
Steam Online,Entertainment
Health Insurance NEFT,Healthcare
Medical Lab Test NEFT,Healthcare
Zomato Recharge,Food
Netflix via UPI,Entertainment
India Post App,Miscellaneous
Household Items NEFT,Groceries
Parking Fee via UPI,Miscellaneous
Cab Ride Payment,Travel
Amazon via UPI,Shopping
Starbucks Online,Food
Event Ticket Purchase,Entertainment
Swiggy App,Food
McDonalds,Food
Sports Ticket Recharge,Entertainment
Domino's,Food
Ola Payment,Travel
Broadband Bill Recharge,Bills
Clinic Visit Payment,Healthcare
Dining Payment,Food
Health Insurance Recharge,Healthcare
Dental Treatment IMPS,Healthcare
Health Insurance Online,Healthcare
Event Ticket Online,Entertainment
Ajio Online,Shopping
Bank Charges NEFT,Miscellaneous
Hospital Bill Online,Healthcare
Hotstar IMPS,Entertainment
Bank Charges Bill,Miscellaneous
Instamart Payment,Groceries
Spotify Payment,Entertainment
Household Items App,Groceries
Daily Essentials Auto-pay,Groceries
Maintenance Charges Purchase,Bills
Ola Payment,Travel
PVR Cinemas Online,Entertainment
Electricity Bill NEFT,Bills
Water Bill IMPS,Bills
Reliance Digital,Shopping
Courier Service Transaction,Miscellaneous
Restaurant IMPS,Food
Airtel Postpaid Purchase,Bills
Reliance Smart NEFT,Groceries
Reliance Smart Bill,Groceries
Train Ticket,Travel
Courier Service Auto-pay,Miscellaneous
PVR Cinemas Recharge,Entertainment
Metro Recharge NEFT,Travel
Clinic Visit Purchase,Healthcare
Cafe Coffee Day IMPS,Food
Courier Service Recharge,Miscellaneous
Tata Power Payment,Bills
Milk Purchase Recharge,Groceries
Bank Charges Auto-pay,Miscellaneous
Appliance Store IMPS,Shopping
Household Items via UPI,Groceries
Blinkit,Groceries
Dental Treatment Transaction,Healthcare
Shoppers Stop App,Shopping
DTH Recharge Purchase,Bills
BookMyShow Online,Entertainment
Event Ticket App,Entertainment
Mahanagar Gas IMPS,Bills
Bescom via UPI,Bills
Apollo Pharmacy Bill,Healthcare
OTT Subscription App,Entertainment
MakeMyTrip NEFT,Travel
Reliance Smart,Groceries
Parking Fee Recharge,Miscellaneous
Ajio NEFT,Shopping
Gaming Top-up NEFT,Entertainment
Street Food Payment,Food
India Post Transaction,Miscellaneous
Air India Recharge,Travel
Tata Power,Bills
Local Kirana Online,Groceries
Music Subscription Auto-pay,Entertainment
IRCTC IMPS,Travel
Netflix Recharge,Entertainment
Netmeds App,Healthcare
Bakery Recharge,Food
Health Insurance Auto-pay,Healthcare
Zomato Bill,Food
Electricity Bill,Bills
Event Ticket Payment,Entertainment
Donation App,Miscellaneous
Airtel Postpaid Recharge,Bills
Vi Mobile Bill NEFT,Bills
ATM Withdrawal Recharge,Miscellaneous
Medical Lab Test Purchase,Healthcare
Gaming Top-up Transaction,Entertainment
Cab Ride App,Travel
Myntra,Shopping
Netflix App,Entertainment
IRCTC via UPI,Travel
Metro Recharge,Travel
BlueDart IMPS,Miscellaneous
Airtel Postpaid NEFT,Bills
Charity Purchase,Miscellaneous
Jio Recharge Purchase,Bills
Vi Mobile Bill,Bills
Steam Bill,Entertainment
Gym Membership App,Miscellaneous
BigBasket IMPS,Groceries
Water Bill Online,Bills
Spotify Recharge,Entertainment
DMart,Groceries
McDonalds App,Food
Clothing Store Recharge,Shopping
Cult.fit,Miscellaneous
Parking Fee Recharge,Miscellaneous
Indigo Airlines Payment,Travel
McDonalds Purchase,Food
Netmeds Online,Healthcare
Bakery Bill,Food
Swiggy,Food
Health Insurance Online,Healthcare
OTT Subscription App,Entertainment
Electronics Store NEFT,Shopping
Clothing Store Purchase,Shopping
Metro Recharge Transaction,Travel
Lifestyle Bill,Shopping
Bank Charges IMPS,Miscellaneous
Lifestyle App,Shopping
Water Bill NEFT,Bills
Supermarket Grocery Online,Groceries
Health Insurance,Healthcare
Broadband Bill IMPS,Bills
Swiggy Purchase,Food
Event Ticket Recharge,Entertainment
Mall Purchase IMPS,Shopping
BlueDart Recharge,Miscellaneous
Bus Ticket NEFT,Travel
Supermarket Grocery Payment,Groceries
Doctor Consultation NEFT,Healthcare
Ola Recharge,Travel
Broadband Bill Transaction,Bills
Electronics Store App,Shopping
Dental Treatment Auto-pay,Healthcare
IRCTC Transaction,Travel
Parking Fee via UPI,Miscellaneous
Electronics Store Transaction,Shopping
Instamart via UPI,Groceries
Steam Transaction,Entertainment
Flipkart Bill,Shopping
Cult.fit App,Miscellaneous
Amazon,Shopping
Netmeds,Healthcare
Restaurant NEFT,Food
DTH Recharge,Bills
Zomato Recharge,Food
Gym Membership Payment,Miscellaneous
Dental Treatment App,Healthcare
DTH Recharge Online,Bills
Shoppers Stop App,Shopping
Bakery Transaction,Food
Charity IMPS,Miscellaneous
Apollo Pharmacy Transaction,Healthcare
Bus Ticket Recharge,Travel
Indigo Airlines Online,Travel
Ajio Online,Shopping
Mahanagar Gas Transaction,Bills
Domino's Transaction,Food
Zepto Recharge,Groceries
Rent Payment Transaction,Bills
Health Insurance Purchase,Healthcare
RedBus Payment,Travel
Steam App,Entertainment
Practo Auto-pay,Healthcare
Vi Mobile Bill Payment,Bills
ATM Withdrawal Online,Miscellaneous
BookMyShow IMPS,Entertainment
Netmeds Recharge,Healthcare
India Post,Miscellaneous
Street Food IMPS,Food
IRCTC Auto-pay,Travel
Ajio Payment,Shopping
Electronics Store Online,Shopping
Airport Taxi NEFT,Travel
DTH Recharge Transaction,Bills
Nykaa,Shopping
Hospital Bill Online,Healthcare
Airport Taxi Recharge,Travel
DMart,Groceries
Courier Service,Miscellaneous
Bank Charges Transaction,Miscellaneous
ATM Withdrawal via UPI,Miscellaneous
BlueDart,Miscellaneous
Dental Treatment Bill,Healthcare
Flipkart IMPS,Shopping
Appliance Store Payment,Shopping
ATM Withdrawal via UPI,Miscellaneous
Electricity Bill Recharge,Bills
IRCTC NEFT,Travel
Haldirams Online,Food
Courier Service Bill,Miscellaneous
Haldirams Transaction,Food
Tata Power Recharge,Bills
Zepto IMPS,Groceries
Nykaa App,Shopping
Airtel Postpaid NEFT,Bills
Daily Essentials Auto-pay,Groceries
Tata Power via UPI,Bills
Cab Ride Payment,Travel
Lifestyle Payment,Shopping
Cult.fit NEFT,Miscellaneous
Doctor Consultation Online,Healthcare
Ola Bill,Travel
Flight Ticket Recharge,Travel
Clinic Visit IMPS,Healthcare
ATM Withdrawal Online,Miscellaneous
Courier Service Auto-pay,Miscellaneous
Amazon Payment,Shopping
Amazon Transaction,Shopping
Rapido via UPI,Travel
DTH Recharge NEFT,Bills
Reliance Digital Online,Shopping
Sports Ticket,Entertainment
Parking Fee NEFT,Miscellaneous
DMart Online,Groceries
Water Bill Auto-pay,Bills
Pharma Auto-pay,Healthcare
Amazon Prime Bill,Entertainment
Electricity Bill Transaction,Bills
Netmeds Purchase,Healthcare
BookMyShow IMPS,Entertainment
Shoppers Stop App,Shopping
Parking Fee App,Miscellaneous
Maintenance Charges Purchase,Bills
Instamart Recharge,Groceries
Street Food Bill,Food
Hospital Bill Bill,Healthcare
Netflix via UPI,Entertainment
Apollo Pharmacy App,Healthcare
Bus Ticket Recharge,Travel
Jio Recharge via UPI,Bills
OTT Subscription,Entertainment
1mg IMPS,Healthcare
Train Ticket Purchase,Travel
Mall Purchase NEFT,Shopping
Gaming Top-up via UPI,Entertainment
Daily Essentials Online,Groceries
Zomato NEFT,Food
Pharma Auto-pay,Healthcare
Restaurant Payment,Food
India Post Purchase,Miscellaneous
KFC Payment,Food
Tata Power via UPI,Bills
Steam IMPS,Entertainment
Domino's NEFT,Food
Dining,Food
Amazon Prime Payment,Entertainment
Bescom App,Bills
DMart App,Groceries
Appliance Store via UPI,Shopping
BookMyShow NEFT,Entertainment
Cafe Coffee Day Online,Food
Instamart NEFT,Groceries
Parking Fee via UPI,Miscellaneous
Nature's Basket Recharge,Groceries
Bescom Recharge,Bills
RedBus NEFT,Travel
Health Insurance,Healthcare
Medical Lab Test Auto-pay,Healthcare
Cult.fit IMPS,Miscellaneous
BigBasket Payment,Groceries
Clinic Visit Auto-pay,Healthcare
Gaming Top-up Transaction,Entertainment
Instamart Online,Groceries
BookMyShow App,Entertainment
Music Subscription Payment,Entertainment
Lifestyle Payment,Shopping
Amazon IMPS,Shopping
Amazon Prime Transaction,Entertainment
Starbucks NEFT,Food
Water Bill Transaction,Bills
Bescom Auto-pay,Bills
Starbucks via UPI,Food
Train Ticket Bill,Travel
Local Kirana Purchase,Groceries
BigBasket Payment,Groceries
MakeMyTrip,Travel
Dental Treatment NEFT,Healthcare
Rapido,Travel
Clinic Visit Transaction,Healthcare
Ola App,Travel
Flipkart IMPS,Shopping
Mall Purchase Transaction,Shopping
Mahanagar Gas NEFT,Bills
Appliance Store App,Shopping
Shoppers Stop App,Shopping
Daily Essentials Transaction,Groceries
Event Ticket App,Entertainment
Air India Purchase,Travel
BlueDart Auto-pay,Miscellaneous
Flipkart App,Shopping
Street Food IMPS,Food
Instamart Recharge,Groceries
Amazon Prime Recharge,Entertainment
ATM Withdrawal Recharge,Miscellaneous
KFC Payment,Food
ATM Withdrawal,Miscellaneous
Ajio Bill,Shopping
Broadband Bill Online,Bills
ATM Withdrawal App,Miscellaneous
Local Cafe Payment,Food
Steam Purchase,Entertainment
Ajio Recharge,Shopping
Donation Payment,Miscellaneous
Air India NEFT,Travel
Doctor Consultation via UPI,Healthcare
PVR Cinemas Online,Entertainment
Reliance Smart IMPS,Groceries
Croma Payment,Shopping
Vi Mobile Bill Bill,Bills
General Store Auto-pay,Groceries
Haldirams App,Food
Bank Charges Auto-pay,Miscellaneous
Donation IMPS,Miscellaneous
Myntra via UPI,Shopping
Dental Treatment IMPS,Healthcare
Netmeds IMPS,Healthcare
Coffee Shop Transaction,Food
Lifestyle NEFT,Shopping
General Store Recharge,Groceries
Train Ticket Payment,Travel
BlueDart Transaction,Miscellaneous
Zomato Recharge,Food
DTH Recharge App,Bills
Cult.fit Payment,Miscellaneous
Clothing Store App,Shopping
Airtel Postpaid NEFT,Bills
Water Bill Bill,Bills
Apollo Pharmacy Online,Healthcare
Local Kirana Transaction,Groceries
Cafe Coffee Day Auto-pay,Food
Jio Recharge Transaction,Bills
Appliance Store Payment,Shopping
Parking Fee NEFT,Miscellaneous
1mg Auto-pay,Healthcare
Gaming Top-up IMPS,Entertainment
Event Ticket via UPI,Entertainment
Nykaa Auto-pay,Shopping
Airtel Postpaid Recharge,Bills
Water Bill Recharge,Bills
Coffee Shop via UPI,Food
Clothing Store Purchase,Shopping
Sports Ticket App,Entertainment
India Post IMPS,Miscellaneous
Sports Ticket Auto-pay,Entertainment
Dental Treatment Bill,Healthcare
Tata Power via UPI,Bills
Dental Treatment Purchase,Healthcare
Reliance Digital NEFT,Shopping
Airport Taxi Payment,Travel
Bank Charges NEFT,Miscellaneous
Flight Ticket Purchase,Travel
Cab Ride Payment,Travel
Zomato Purchase,Food
Nykaa App,Shopping
Water Bill Transaction,Bills
BlueDart,Miscellaneous
Zomato Payment,Food
Milk Purchase NEFT,Groceries
Instamart Purchase,Groceries
Practo NEFT,Healthcare
KFC Purchase,Food
Metro Recharge Transaction,Travel
Doctor Consultation Auto-pay,Healthcare
PVR Cinemas Transaction,Entertainment
Doctor Consultation via UPI,Healthcare
Parking Fee App,Miscellaneous
Spotify Recharge,Entertainment
Clinic Visit Payment,Healthcare
Cult.fit IMPS,Miscellaneous
Swiggy App,Food
Doctor Consultation NEFT,Healthcare
Zomato Transaction,Food
Mahanagar Gas Online,Bills
Dental Treatment Recharge,Healthcare
Local Kirana IMPS,Groceries
Pharma Payment,Healthcare
Apollo Pharmacy NEFT,Healthcare
Airtel Postpaid Payment,Bills
Retail Store Transaction,Shopping
Tata Power via UPI,Bills
Mahanagar Gas App,Bills
PVR Cinemas via UPI,Entertainment
Airtel Postpaid Purchase,Bills
Electronics Store Transaction,Shopping
Doctor Consultation Recharge,Healthcare
Donation via UPI,Miscellaneous
General Store,Groceries
MakeMyTrip App,Travel
Domino's Transaction,Food
Local Cafe Purchase,Food
Inox via UPI,Entertainment
Maintenance Charges Transaction,Bills
Electronics Store Online,Shopping
India Post Bill,Miscellaneous
DTH Recharge NEFT,Bills
General Store Online,Groceries
Milk Purchase NEFT,Groceries
Ola Bill,Travel
Airport Taxi Recharge,Travel
Airtel Postpaid Online,Bills
Netmeds Purchase,Healthcare
BlueDart Online,Miscellaneous
Broadband Bill App,Bills
Flight Ticket Bill,Travel
Flipkart via UPI,Shopping
Bescom NEFT,Bills
Train Ticket Purchase,Travel
Netflix Bill,Entertainment
Tata Power Recharge,Bills
Metro Recharge Purchase,Travel
Dining Bill,Food
Mahanagar Gas Recharge,Bills
Rapido IMPS,Travel
Supermarket Grocery Recharge,Groceries
Cult.fit Recharge,Miscellaneous
Hospital Bill Payment,Healthcare
Starbucks Auto-pay,Food
Temple Donation,Miscellaneous
Clothing Store Auto-pay,Shopping
Clinic Visit,Healthcare
Clinic Visit App,Healthcare
Health Insurance via UPI,Healthcare
Broadband Bill Auto-pay,Bills
Zomato,Food
Broadband Bill Transaction,Bills
Maintenance Charges Recharge,Bills
Swiggy Payment,Food
Charity Online,Miscellaneous
Music Subscription Recharge,Entertainment
1mg,Healthcare
Dining Purchase,Food
RedBus Purchase,Travel
Flight Ticket,Travel
Temple Donation App,Miscellaneous
Reliance Digital Auto-pay,Shopping
Zomato Online,Food
Myntra Transaction,Shopping
Pharma,Healthcare
Mahanagar Gas Recharge,Bills
ATM Withdrawal Online,Miscellaneous
Daily Essentials Purchase,Groceries
Inox Auto-pay,Entertainment
Pharma via UPI,Healthcare
PVR Cinemas Auto-pay,Entertainment
Hotstar Auto-pay,Entertainment
Rapido IMPS,Travel
Medical Lab Test Online,Healthcare
Clinic Visit Payment,Healthcare
Electricity Bill NEFT,Bills
Bikanervala Payment,Food
Daily Essentials Transaction,Groceries
Haldirams App,Food
Gym Membership Purchase,Miscellaneous
Bakery Transaction,Food
General Store Purchase,Groceries
RedBus Auto-pay,Travel
Ola Payment,Travel
Health Insurance Purchase,Healthcare
Practo Transaction,Healthcare
Train Ticket Payment,Travel
India Post IMPS,Miscellaneous
Water Bill Payment,Bills
Temple Donation Payment,Miscellaneous
Electronics Store Payment,Shopping
KFC Purchase,Food
Cafe Coffee Day Payment,Food
Cab Ride IMPS,Travel
Bus Ticket Payment,Travel
Water Bill Transaction,Bills
Doctor Consultation Auto-pay,Healthcare
Retail Store NEFT,Shopping
Event Ticket IMPS,Entertainment
Water Bill NEFT,Bills
RedBus via UPI,Travel
RedBus via UPI,Travel
Reliance Digital Auto-pay,Shopping
Local Kirana NEFT,Groceries
Clinic Visit Payment,Healthcare
Event Ticket Recharge,Entertainment
Cult.fit Payment,Miscellaneous
Broadband Bill App,Bills
Amazon Transaction,Shopping
Clinic Visit IMPS,Healthcare
Maintenance Charges Transaction,Bills
Electricity Bill Payment,Bills
Clinic Visit Purchase,Healthcare
Milk Purchase Recharge,Groceries
Maintenance Charges via UPI,Bills
India Post via UPI,Miscellaneous
Nykaa Online,Shopping
Pharma Online,Healthcare
Parking Fee,Miscellaneous
1mg Auto-pay,Healthcare
Ola via UPI,Travel
Inox Payment,Entertainment
Ajio,Shopping
Ajio Auto-pay,Shopping
Airport Taxi Auto-pay,Travel
Street Food IMPS,Food
Dining NEFT,Food
Gaming Top-up,Entertainment
Gym Membership,Miscellaneous
Nature's Basket NEFT,Groceries
Electricity Bill Online,Bills
Croma Recharge,Shopping
India Post App,Miscellaneous
Clothing Store Online,Shopping
RedBus Online,Travel
Ola Transaction,Travel
Broadband Bill Recharge,Bills
Instamart Transaction,Groceries
Instamart NEFT,Groceries
Bescom Bill,Bills
1mg via UPI,Healthcare
Jio Recharge Online,Bills
Uber App,Travel
Broadband Bill IMPS,Bills
Apollo Pharmacy NEFT,Healthcare
Zepto Transaction,Groceries
Metro Recharge App,Travel
Airtel Postpaid Bill,Bills
Practo IMPS,Healthcare
Bank Charges,Miscellaneous
Practo Bill,Healthcare
Netmeds Online,Healthcare
Charity Online,Miscellaneous
Netmeds Transaction,Healthcare
Inox App,Entertainment
IRCTC IMPS,Travel
Electronics Store Auto-pay,Shopping
India Post Bill,Miscellaneous
Gym Membership Recharge,Miscellaneous
Broadband Bill App,Bills
Bakery,Food
KFC NEFT,Food
Amazon Recharge,Shopping
Medical Lab Test App,Healthcare
General Store Purchase,Groceries
Swiggy Purchase,Food
Train Ticket,Travel
Electronics Store IMPS,Shopping
